XTY's ResNet18 starts training!

epoches=200
batch_size=128
weight_decay=0.0

[epoch: 27, 251/391] Loss: 0.170 | Accuracy: 94.015%
[epoch: 27, 301/391] Loss: 0.171 | Accuracy: 93.939%
[epoch: 27, 351/391] Loss: 0.169 | Accuracy: 94.030%

Epoch:  28 | @lr=0.100 @momentum=0.9
[epoch: 28,   1/391] Loss: 0.158 | Accuracy: 93.750%
[epoch: 28,  51/391] Loss: 0.144 | Accuracy: 94.914%
[epoch: 28, 101/391] Loss: 0.151 | Accuracy: 94.771%
[epoch: 28, 151/391] Loss: 0.155 | Accuracy: 94.624%
[epoch: 28, 201/391] Loss: 0.159 | Accuracy: 94.488%
[epoch: 28, 251/391] Loss: 0.159 | Accuracy: 94.503%
[epoch: 28, 301/391] Loss: 0.160 | Accuracy: 94.433%
[epoch: 28, 351/391] Loss: 0.159 | Accuracy: 94.460%

Epoch:  29 | @lr=0.100 @momentum=0.9
[epoch: 29,   1/391] Loss: 0.124 | Accuracy: 94.531%
[epoch: 29,  51/391] Loss: 0.133 | Accuracy: 95.190%
[epoch: 29, 101/391] Loss: 0.138 | Accuracy: 95.088%
[epoch: 29, 151/391] Loss: 0.138 | Accuracy: 95.038%
[epoch: 29, 201/391] Loss: 0.139 | Accuracy: 95.052%
[epoch: 29, 251/391] Loss: 0.141 | Accuracy: 95.067%
[epoch: 29, 301/391] Loss: 0.142 | Accuracy: 94.965%
[epoch: 29, 351/391] Loss: 0.144 | Accuracy: 94.919%

Epoch:  30 | @lr=0.100 @momentum=0.9
[epoch: 30,   1/391] Loss: 0.088 | Accuracy: 96.875%
[epoch: 30,  51/391] Loss: 0.129 | Accuracy: 95.312%
[epoch: 30, 101/391] Loss: 0.134 | Accuracy: 95.158%
[epoch: 30, 151/391] Loss: 0.133 | Accuracy: 95.256%
[epoch: 30, 201/391] Loss: 0.136 | Accuracy: 95.095%
[epoch: 30, 251/391] Loss: 0.136 | Accuracy: 95.092%
[epoch: 30, 301/391] Loss: 0.136 | Accuracy: 95.113%
[epoch: 30, 351/391] Loss: 0.138 | Accuracy: 95.041%

Epoch:  31 | @lr=0.100 @momentum=0.9
[epoch: 31,   1/391] Loss: 0.083 | Accuracy: 97.656%
[epoch: 31,  51/391] Loss: 0.122 | Accuracy: 95.987%
[epoch: 31, 101/391] Loss: 0.122 | Accuracy: 95.808%
[epoch: 31, 151/391] Loss: 0.129 | Accuracy: 95.509%
[epoch: 31, 201/391] Loss: 0.132 | Accuracy: 95.379%
[epoch: 31, 251/391] Loss: 0.131 | Accuracy: 95.406%
[epoch: 31, 301/391] Loss: 0.132 | Accuracy: 95.357%
[epoch: 31, 351/391] Loss: 0.133 | Accuracy: 95.328%

Epoch:  32 | @lr=0.100 @momentum=0.9
[epoch: 32,   1/391] Loss: 0.117 | Accuracy: 96.094%
[epoch: 32,  51/391] Loss: 0.131 | Accuracy: 95.267%
[epoch: 32, 101/391] Loss: 0.124 | Accuracy: 95.529%
[epoch: 32, 151/391] Loss: 0.125 | Accuracy: 95.535%
[epoch: 32, 201/391] Loss: 0.127 | Accuracy: 95.336%
[epoch: 32, 251/391] Loss: 0.129 | Accuracy: 95.263%
[epoch: 32, 301/391] Loss: 0.128 | Accuracy: 95.310%
[epoch: 32, 351/391] Loss: 0.130 | Accuracy: 95.319%

Epoch:  33 | @lr=0.100 @momentum=0.9
[epoch: 33,   1/391] Loss: 0.102 | Accuracy: 95.312%
[epoch: 33,  51/391] Loss: 0.108 | Accuracy: 96.109%
[epoch: 33, 101/391] Loss: 0.110 | Accuracy: 96.140%
[epoch: 33, 151/391] Loss: 0.112 | Accuracy: 96.047%
[epoch: 33, 201/391] Loss: 0.113 | Accuracy: 96.000%
[epoch: 33, 251/391] Loss: 0.114 | Accuracy: 95.941%
[epoch: 33, 301/391] Loss: 0.115 | Accuracy: 95.871%
[epoch: 33, 351/391] Loss: 0.114 | Accuracy: 95.880%

Epoch:  34 | @lr=0.100 @momentum=0.9
[epoch: 34,   1/391] Loss: 0.052 | Accuracy: 98.438%
[epoch: 34,  51/391] Loss: 0.102 | Accuracy: 96.400%
[epoch: 34, 101/391] Loss: 0.102 | Accuracy: 96.450%
[epoch: 34, 151/391] Loss: 0.103 | Accuracy: 96.399%
[epoch: 34, 201/391] Loss: 0.108 | Accuracy: 96.203%
[epoch: 34, 251/391] Loss: 0.108 | Accuracy: 96.165%
[epoch: 34, 301/391] Loss: 0.109 | Accuracy: 96.107%
[epoch: 34, 351/391] Loss: 0.110 | Accuracy: 96.098%

Epoch:  35 | @lr=0.100 @momentum=0.9
[epoch: 35,   1/391] Loss: 0.038 | Accuracy: 98.438%
[epoch: 35,  51/391] Loss: 0.098 | Accuracy: 96.492%
[epoch: 35, 101/391] Loss: 0.098 | Accuracy: 96.411%
[epoch: 35, 151/391] Loss: 0.101 | Accuracy: 96.399%
[epoch: 35, 201/391] Loss: 0.099 | Accuracy: 96.494%
[epoch: 35, 251/391] Loss: 0.100 | Accuracy: 96.436%
[epoch: 35, 301/391] Loss: 0.104 | Accuracy: 96.286%
[epoch: 35, 351/391] Loss: 0.106 | Accuracy: 96.201%

Epoch:  36 | @lr=0.100 @momentum=0.9
[epoch: 36,   1/391] Loss: 0.092 | Accuracy: 95.312%
[epoch: 36,  51/391] Loss: 0.094 | Accuracy: 96.798%
[epoch: 36, 101/391] Loss: 0.098 | Accuracy: 96.666%
[epoch: 36, 151/391] Loss: 0.098 | Accuracy: 96.668%
[epoch: 36, 201/391] Loss: 0.097 | Accuracy: 96.657%
[epoch: 36, 251/391] Loss: 0.096 | Accuracy: 96.660%
[epoch: 36, 301/391] Loss: 0.095 | Accuracy: 96.680%
[epoch: 36, 351/391] Loss: 0.097 | Accuracy: 96.641%

Epoch:  37 | @lr=0.100 @momentum=0.9
[epoch: 37,   1/391] Loss: 0.034 | Accuracy: 99.219%
[epoch: 37,  51/391] Loss: 0.074 | Accuracy: 97.289%
[epoch: 37, 101/391] Loss: 0.086 | Accuracy: 96.906%
[epoch: 37, 151/391] Loss: 0.090 | Accuracy: 96.725%
[epoch: 37, 201/391] Loss: 0.092 | Accuracy: 96.615%
[epoch: 37, 251/391] Loss: 0.093 | Accuracy: 96.632%
[epoch: 37, 301/391] Loss: 0.092 | Accuracy: 96.662%
[epoch: 37, 351/391] Loss: 0.092 | Accuracy: 96.677%

Epoch:  38 | @lr=0.100 @momentum=0.9
[epoch: 38,   1/391] Loss: 0.108 | Accuracy: 95.312%
[epoch: 38,  51/391] Loss: 0.083 | Accuracy: 97.197%
[epoch: 38, 101/391] Loss: 0.082 | Accuracy: 97.084%
[epoch: 38, 151/391] Loss: 0.084 | Accuracy: 96.984%
[epoch: 38, 201/391] Loss: 0.086 | Accuracy: 96.941%
[epoch: 38, 251/391] Loss: 0.086 | Accuracy: 96.934%
[epoch: 38, 301/391] Loss: 0.088 | Accuracy: 96.841%
[epoch: 38, 351/391] Loss: 0.089 | Accuracy: 96.786%

Epoch:  39 | @lr=0.100 @momentum=0.9
[epoch: 39,   1/391] Loss: 0.073 | Accuracy: 96.875%
[epoch: 39,  51/391] Loss: 0.085 | Accuracy: 97.013%
[epoch: 39, 101/391] Loss: 0.083 | Accuracy: 97.061%
[epoch: 39, 151/391] Loss: 0.082 | Accuracy: 97.103%
[epoch: 39, 201/391] Loss: 0.082 | Accuracy: 97.042%
[epoch: 39, 251/391] Loss: 0.082 | Accuracy: 97.056%
[epoch: 39, 301/391] Loss: 0.083 | Accuracy: 97.051%
[epoch: 39, 351/391] Loss: 0.084 | Accuracy: 96.986%

Epoch:  40 | @lr=0.100 @momentum=0.9
[epoch: 40,   1/391] Loss: 0.097 | Accuracy: 94.531%
[epoch: 40,  51/391] Loss: 0.075 | Accuracy: 97.426%
[epoch: 40, 101/391] Loss: 0.071 | Accuracy: 97.517%
[epoch: 40, 151/391] Loss: 0.077 | Accuracy: 97.346%
[epoch: 40, 201/391] Loss: 0.077 | Accuracy: 97.318%
[epoch: 40, 251/391] Loss: 0.078 | Accuracy: 97.242%
[epoch: 40, 301/391] Loss: 0.080 | Accuracy: 97.161%
[epoch: 40, 351/391] Loss: 0.080 | Accuracy: 97.138%

Epoch:  41 | @lr=0.100 @momentum=0.9
[epoch: 41,   1/391] Loss: 0.043 | Accuracy: 99.219%
[epoch: 41,  51/391] Loss: 0.063 | Accuracy: 97.763%
[epoch: 41, 101/391] Loss: 0.068 | Accuracy: 97.664%
[epoch: 41, 151/391] Loss: 0.069 | Accuracy: 97.579%
[epoch: 41, 201/391] Loss: 0.072 | Accuracy: 97.509%
[epoch: 41, 251/391] Loss: 0.072 | Accuracy: 97.485%
[epoch: 41, 301/391] Loss: 0.071 | Accuracy: 97.485%
[epoch: 41, 351/391] Loss: 0.072 | Accuracy: 97.469%

Epoch:  42 | @lr=0.100 @momentum=0.9
[epoch: 42,   1/391] Loss: 0.027 | Accuracy: 98.438%
[epoch: 42,  51/391] Loss: 0.068 | Accuracy: 97.595%
[epoch: 42, 101/391] Loss: 0.061 | Accuracy: 97.749%
[epoch: 42, 151/391] Loss: 0.065 | Accuracy: 97.672%
[epoch: 42, 201/391] Loss: 0.065 | Accuracy: 97.668%
[epoch: 42, 251/391] Loss: 0.068 | Accuracy: 97.501%
[epoch: 42, 301/391] Loss: 0.070 | Accuracy: 97.488%
[epoch: 42, 351/391] Loss: 0.070 | Accuracy: 97.536%

Epoch:  43 | @lr=0.100 @momentum=0.9
[epoch: 43,   1/391] Loss: 0.073 | Accuracy: 97.656%
[epoch: 43,  51/391] Loss: 0.055 | Accuracy: 97.978%
[epoch: 43, 101/391] Loss: 0.058 | Accuracy: 97.950%
[epoch: 43, 151/391] Loss: 0.059 | Accuracy: 97.936%
[epoch: 43, 201/391] Loss: 0.063 | Accuracy: 97.800%
[epoch: 43, 251/391] Loss: 0.064 | Accuracy: 97.734%
[epoch: 43, 301/391] Loss: 0.065 | Accuracy: 97.706%
